date,open,high,low,volume,sentiment
2021/12/13 14:00,64.91,64.91,64.11,1807268,0.5
2021/12/13 15:00,64.79,65,63.82,2233975,0.5
2021/12/14 10:30,64.8,64.8,63.93,2749542,0.5
2021/12/14 11:30,64.46,64.7,63.55,1221138,0.5
2021/12/14 14:00,63.86,64.18,63.02,1069652,0.5
2021/12/14 15:00,63.88,63.99,63.38,1126599,0.5
2021/12/15 10:30,63.9,63.95,61.88,2673800,0.5
2021/12/15 11:30,62.89,62.93,62.15,636264,0.5
2021/12/15 14:00,62.21,62.7,61.8,969291,0.5
2021/12/15 15:00,62.18,62.23,60.61,2659266,0.5
2021/12/16 10:30,60.71,61.63,60.23,2124791,0.5
2021/12/16 11:30,60.59,60.62,59.68,1526011,0.5
2021/12/16 14:00,59.97,61.18,59.97,1250526,0.5
2021/12/16 15:00,60.84,61,60.7,933597,0.5
2021/12/17 10:30,61.3,61.55,59.91,1503903,0.5
2021/12/17 11:30,60.26,60.95,60.01,720373,0.5
2021/12/17 14:00,60.8,60.8,60.08,541968,0.5
2021/12/17 15:00,60.08,60.48,59.66,3591561,0.5
2021/12/20 10:30,60.05,61.19,59.9,1165462,0.5
2021/12/20 11:30,60.6,60.6,59.9,560718,0.5
2021/12/20 14:00,59.9,59.95,58.87,1075239,0.5
2021/12/20 15:00,58.9,59.17,58.53,885108,0.5
2021/12/21 10:30,58.9,60.36,58.56,1288120,0.5
2021/12/21 11:30,59.01,59.31,58.62,414444,0.5
2021/12/21 14:00,58.7,59.1,58.4,637833,0.5
2021/12/21 15:00,59.02,59.33,58.91,475986,0.5
2021/12/22 10:30,59.34,59.35,57.9,1493917,0.5
2021/12/22 11:30,58.02,58.48,57.94,485776,0.5
2021/12/22 14:00,58.4,58.65,58.22,473478,0.5
2021/12/22 15:00,58.43,58.5,58.05,603934,0.5
2021/12/23 10:30,58.16,59.05,58.03,1428650,0.5
2021/12/23 11:30,58.45,58.9,58.28,657312,0.5
2021/12/23 14:00,58.58,58.7,57.93,884621,0.5
2021/12/23 15:00,58,58.53,58,793162,0.5
2021/12/24 10:30,58.51,58.88,57.34,2092409,0.5
2021/12/24 11:30,58.72,59.84,58.53,2272505,0.5
2021/12/24 14:00,59.63,60.5,59.22,2314262,0.5
2021/12/24 15:00,60.36,60.42,59.14,1431938,0.5
2021/12/27 10:30,59.7,60.18,58.01,1519657,0.5
2021/12/27 11:30,58.45,58.87,58.15,574663,0.5
2021/12/27 14:00,58.19,58.38,57.64,1002241,0.5
2021/12/27 15:00,58.02,58.06,57.25,1315389,0.5
2021/12/28 10:30,57.02,57.83,56.72,1900248,0.5
2021/12/28 11:30,57.4,58.98,57.13,2306189,0.5
2021/12/28 14:00,58.89,59.32,58.42,1265855,0.5
2021/12/28 15:00,58.51,58.69,58.46,1262991,0.5
2021/12/29 10:30,59,59.3,57.68,1053136,0.5
2021/12/29 11:30,58.08,58.88,57.9,478206,0.5
2021/12/29 14:00,58.69,58.69,57.9,359705,0.5
2021/12/29 15:00,57.99,58.1,57.5,644575,0.5
2021/12/30 10:30,57.7,57.89,56.9,868542,0.5
2021/12/30 11:30,57.42,57.51,57.1,368177,0.5
2021/12/30 14:00,57.27,57.75,57.17,377944,0.5
2021/12/30 15:00,57.5,57.87,57.3,536799,0.5
2021/12/31 10:30,59.52,63.59,59.4,7484687,0.5
2021/12/31 11:30,63.06,66.15,62.98,6984109,0.5
2021/12/31 14:00,65.45,68.75,65.45,5325737,0.5
2021/12/31 15:00,67.63,68.3,66.8,3067960,0.5
2022/1/4 10:30,65,65,61,9379294,0.204841974
2022/1/4 11:30,61.37,61.84,60.48,2539073,0.311812574
2022/1/4 14:00,61.26,61.77,60.7,1856929,0.594295576
2022/1/4 15:00,60.74,60.98,60.21,2779350,0.422386462
2022/1/5 10:30,59,59.49,57.52,4649459,0.351158878
2022/1/5 11:30,57.58,58.4,57.3,1075914,0.394239639
2022/1/5 14:00,58.19,58.19,57.61,745389,0.472354314
2022/1/5 15:00,57.84,58.45,57.81,910735,0.474184279
2022/1/6 10:30,58.01,58.55,57.35,1434690,0.768902082
2022/1/6 11:30,57.45,57.49,56.58,1453033,0.65912128
2022/1/6 14:00,57.05,57.36,56.89,607775,0.552637976
2022/1/6 15:00,57.08,57.12,56.66,1084545,0.586225927
2022/1/7 10:30,56.99,57.85,56.6,1471160,0.674275244
